word,log_odds,valence,arousal,dominance
combine,-0.4895733068814573,0.663,0.442,0.533
budget,-0.1911173440490863,0.643,0.396,0.731
stealing,0.6380626517017688,0.086,0.913,0.455
mignon,-2.250217651871805,0.551,0.44,0.423
bud,-0.26480505984024566,0.46,0.402,0.333
underdog,-0.5524871322920265,0.25,0.41,0.226
radioactive,-0.5524871322920265,0.19,0.798,0.741
panties,0.8338072288278641,0.594,0.529,0.312
injustice,0.6514856720339094,0.082,0.755,0.444
misnomer,0.14066004826791878,0.296,0.528,0.284
sleet,0.8338072288278641,0.41,0.355,0.395
moonwalk,0.5461251563760832,0.615,0.586,0.525
rub,0.7002758362033414,0.521,0.565,0.4
discriminate,0.6175841203582282,0.125,0.761,0.366
unwilling,-0.28542434704298136,0.302,0.316,0.179
dreary,-0.08248350304629098,0.26,0.49,0.324
shard,0.3919744765488248,0.388,0.407,0.426
fishing,-1.209266668681097,0.677,0.283,0.405
wary,0.2817386465278243,0.51,0.343,0.535
tepid,0.6514856720339094,0.337,0.327,0.237
intellect,-0.957952240400191,0.844,0.418,0.87
soviet,-0.957952240400191,0.347,0.58,0.536
healthcare,0.29481072809517705,0.78,0.392,0.63
onset,0.8338072288278641,0.673,0.497,0.5
muffled,0.5461251563760832,0.479,0.33,0.421
agreed,-0.2036862447842001,0.797,0.449,0.574
snag,-0.8287405089201847,0.417,0.25,0.339
pushing,0.23375047133393076,0.396,0.644,0.731
junkie,1.2392723369360286,0.135,0.86,0.363
summary,-0.3874073819325778,0.729,0.26,0.427
location,-0.20194085178845023,0.615,0.375,0.546
dangit,-0.26480505984024566,0.396,0.606,0.358
ken,-1.1121029202274493,0.438,0.409,0.36
concoction,0.3919744765488248,0.448,0.459,0.417
feared,0.592645172010976,0.24,0.733,0.509
case,-0.16069368145407675,0.427,0.275,0.441
walk,-0.11471199026296225,0.643,0.412,0.45
radiation,0.8338072288278641,0.167,0.741,0.536
citrus,-1.1370004718491764,0.469,0.368,0.375
subsequently,0.6514856720339094,0.38,0.337,0.336
small,-0.23458699004592556,0.542,0.205,0.12
seared,-1.5609483239658386,0.229,0.41,0.398
transcendent,-1.158622935862342,0.667,0.6,0.824
vermouth,-0.5524871322920265,0.503,0.48,0.425
conversant,0.14066004826791878,0.724,0.36,0.542
progressive,-1.2456343128519718,0.755,0.606,0.81
restricted,-0.5524871322920265,0.276,0.5,0.407
protective,0.27419144089244135,0.844,0.459,0.86
riddance,1.121489301279645,0.323,0.562,0.472
southern,0.4654362451259404,0.552,0.269,0.37
commute,0.14066004826791878,0.622,0.582,0.565
rum,-0.42573542665288266,0.561,0.377,0.451
awards,0.6370969345818098,0.958,0.736,0.652
absent,-0.5116651377717714,0.177,0.221,0.116
scene,-0.5524871322920265,0.57,0.34,0.578
intuitive,-0.18476235216670914,0.771,0.573,0.69
cookies,2.845195307262684,0.823,0.451,0.316
vat,1.2392723369360286,0.333,0.491,0.509
outspoken,0.8338072288278641,0.582,0.413,0.667
unverified,-0.5524871322920265,0.214,0.365,0.18
whisk,1.2392723369360286,0.5,0.537,0.412
timely,-0.030581062749464084,0.865,0.387,0.591
forbid,-0.1470220241838622,0.115,0.686,0.598
slick,-0.17779368285061573,0.388,0.383,0.349
intending,-0.7756306836062364,0.51,0.567,0.597
card,0.5459121411446888,0.531,0.269,0.436
sunken,-1.1943410184644212,0.103,0.476,0.173
herbal,2.471416018228661,0.592,0.255,0.39
weeds,-1.0379949480737274,0.32,0.551,0.315
microscope,0.7002758362033417,0.531,0.33,0.464
manor,1.2015320089531816,0.646,0.358,0.738
oat,-0.5524871322920265,0.622,0.17,0.298
clientele,-0.029965468762844488,0.625,0.577,0.508
born,0.6491573822743184,0.865,0.509,0.591
renovation,0.4348995212658587,0.816,0.59,0.779
sweaty,0.4089240348625981,0.281,0.54,0.304
guest,-0.5943612047630855,0.719,0.49,0.558
marbled,-0.5524871322920265,0.396,0.385,0.418
captive,-0.957952240400191,0.235,0.558,0.411
syrup,0.5608313037657786,0.62,0.223,0.318
bunker,0.5461251563760832,0.375,0.673,0.773
uncontrollable,0.6514856720339094,0.265,0.79,0.626
accolade,-0.26480505984024566,0.688,0.591,0.775
sleazy,1.0569507801420739,0.292,0.674,0.37
shampoo,0.4283421207196997,0.604,0.18,0.25
warning,0.030118173868094972,0.229,0.774,0.629
console,0.14066004826791878,0.625,0.398,0.415
uncommon,0.08181954824498516,0.459,0.429,0.373
bottomless,-0.9368988312023586,0.31,0.47,0.368
dumpster,0.5605138938281826,0.229,0.418,0.101
obsessed,-0.3889534893637052,0.219,0.84,0.439
prior,-0.18211334399513213,0.468,0.35,0.417
mindless,-1.2456343128519718,0.184,0.333,0.153
miniature,-0.4540470594787741,0.429,0.292,0.204
snack,-0.03596348741139811,0.646,0.407,0.345
arbitrary,-0.14702202418386207,0.281,0.702,0.686
savant,-0.5524871322920265,0.781,0.451,0.818
excerpt,0.14066004826791878,0.437,0.367,0.543
hostel,0.14066004826791878,0.479,0.5,0.398
artistic,-2.1709748802460447,0.802,0.646,0.632
drunk,-0.4230290650551398,0.194,0.8,0.25
coordination,0.022877012611535213,0.677,0.454,0.789
underneath,-0.0875986037130614,0.45,0.265,0.158
motto,0.022877012611535213,0.688,0.317,0.439
intention,-0.08248350304629098,0.531,0.48,0.636
cutlery,0.505303161855828,0.552,0.3,0.345
regain,0.4283421207196997,0.729,0.52,0.759
question,0.08015772816997566,0.51,0.41,0.509
spotless,0.42576147412620813,0.792,0.327,0.726
uninformed,-0.19581218835329425,0.156,0.37,0.182
unkind,-0.501193837904476,0.135,0.409,0.31
unlock,0.833807228827864,0.582,0.442,0.592
bigoted,0.14066004826791878,0.153,0.76,0.462
submerge,0.14066004826791878,0.517,0.643,0.456
